mouse_id,n_cells_selected,+pairs,-pairs,KS_D,KS_p
Mouse_L347,193,9456,9072,0.11652129831063841,3.398799392127749e-55
Mouse_L354,115,3291,3264,0.08217291588467657,4.427192781991671e-10
Mouse_L355,220,11999,12091,0.13147626112723854,3.152348664095438e-91
Mouse_L362,104,2668,2688,0.1859784393517527,5.873920313195577e-41
Mouse_L363,175,7571,7654,0.053380027491338244,7.159245310451025e-10
