mouse_id,ks_stat,p_value
Mouse_L347,0.11652129831063841,3.398799392127749e-55
Mouse_L354,0.08217291588467657,4.427192781991671e-10
Mouse_L355,0.13147626112723854,3.152348664095438e-91
Mouse_L362,0.1859784393517527,5.873920313195577e-41
Mouse_L363,0.053380027491338244,7.159245310451025e-10
